"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","SCH_TESTED","sum_MATH1below","mean_ESCS","mean_ESCS_std","Y_MATH1","Y_MATH1_rate","Y_BIN_MATH1"
78400315,"United Arab Emirates","public",3.6667,88,11,11,-0.744254545454546,-1.13383031045467,11,1,1
78400324,"United Arab Emirates","private",13.2788,1381,19,6,0.0420736842105263,0.0201709606100426,6,0.31578947368421,0
78400328,"United Arab Emirates","private",4.4314,113,15,13,-0.417753333333333,-0.65466296076848,13,0.866666666666667,1
78400329,"United Arab Emirates","private",15.4519,2086,13,8,-0.187507692307692,-0.31675856871343,8,0.615384615384615,0
78400330,"United Arab Emirates","private",11.5692,752,18,11,1.01638888888889,1.45005855995952,11,0.611111111111111,1
78400341,"United Arab Emirates","private",9.5,513,17,13,0.265194117647059,0.347618525217942,13,0.764705882352941,1
78400357,"United Arab Emirates","private",15.4699,1284,12,12,-0.472891666666667,-0.735582994350588,12,1,1
78400364,"United Arab Emirates","public",14.9298,851,11,11,-0.0159909090909091,-0.0650435998569689,11,1,1
78400383,"United Arab Emirates","public",14.0845,500,12,12,-0.383858333333333,-0.604919263916341,12,1,1
78400386,"United Arab Emirates","private",9.4306,679,11,4,0.373327272727273,0.506312813047283,4,0.363636363636364,0
78400392,"United Arab Emirates","public",13.8542,665,10,10,-0.17224,-0.294351976065972,10,1,0
78400393,"United Arab Emirates","public",7.8387,243,17,17,-0.067035294117647,-0.139955427996043,17,1,1
78400402,"United Arab Emirates","public",13.7391,632,18,18,-0.658961111111111,-1.00865518900733,18,1,1
78400407,"United Arab Emirates","public",13.7647,468,13,13,-1.38429230769231,-2.07313830333494,13,1,1
78400417,"United Arab Emirates","private",11.4286,400,14,13,0.0361928571428571,0.0115403637994808,13,0.928571428571429,1
78400421,"United Arab Emirates","private",10.0159,631,19,9,0.538305263157895,0.748431566351782,9,0.473684210526316,0
78400436,"United Arab Emirates","private",18.1842,1382,17,5,0.819552941176471,1.16118563732756,5,0.294117647058824,0
78400438,"United Arab Emirates","public",10.5952,445,19,16,-0.536921052631579,-0.82955137803748,16,0.842105263157895,1
